Recording timestamp	Event	Event value	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Recording media name	Recording media width	Recording media height	Eye movement type	Eye movement type index	Fixation point X	Fixation point Y	
740						-0.22808	0.14533	0.96273	fullstream.mp4	1920	1080	Fixation	2	1145	462	
750			-0.05110	0.14536	0.98806	-0.20957	0.16083	0.96448	fullstream.mp4	1920	1080	Saccade	2			
760						-0.18503	0.15846	0.96987	fullstream.mp4	1920	1080	Saccade	2			
770						-0.12914	0.18370	0.97446	fullstream.mp4	1920	1080	Saccade	2			
780						-0.10787	0.21338	0.97100	fullstream.mp4	1920	1080	Saccade	2			
790			0.01691	0.21576	0.97630	-0.08734	0.25922	0.96186	fullstream.mp4	1920	1080	Saccade	2			
800			0.04428	0.26907	0.96210				fullstream.mp4	1920	1080	Saccade	2			
810			0.05462	0.26259	0.96336	-0.07962	0.29094	0.95342	fullstream.mp4	1920	1080	Fixation	3	980	276	
820			0.05984	0.29992	0.95208	-0.08822	0.26160	0.96114	fullstream.mp4	1920	1080	Fixation	3	980	276	
830			0.06345	0.27765	0.95859	-0.08710	0.28891	0.95339	fullstream.mp4	1920	1080	Fixation	3	980	276	
840			0.05791	0.30333	0.95112	-0.08265	0.26332	0.96116	fullstream.mp4	1920	1080	Fixation	3	980	276	
849			0.06348	0.27973	0.95798	-0.08834	0.28672	0.95393	fullstream.mp4	1920	1080	Fixation	3	980	276	
859			0.05829	0.30382	0.95094	-0.08382	0.26241	0.96131	fullstream.mp4	1920	1080	Fixation	3	980	276	
869			0.06407	0.28095	0.95758	-0.09050	0.28641	0.95382	fullstream.mp4	1920	1080	Fixation	3	980	276	
880			0.05783	0.30384	0.95097	-0.08493	0.26254	0.96118	fullstream.mp4	1920	1080	Fixation	3	980	276	
889			0.06368	0.28054	0.95773	-0.09139	0.28623	0.95379	fullstream.mp4	1920	1080	Fixation	3	980	276	
890	SyncPortOutLow								fullstream.mp4	1920	1080	Fixation	3	980	276	
899			0.05795	0.30284	0.95128	-0.08658	0.26219	0.96113	fullstream.mp4	1920	1080	Fixation	3	980	276	
909			0.06317	0.27810	0.95847	-0.09238	0.28670	0.95356	fullstream.mp4	1920	1080	Fixation	3	980	276	
919			0.05762	0.30186	0.95161	-0.08756	0.26199	0.96109	fullstream.mp4	1920	1080	Fixation	3	980	276	
929			0.06264	0.27671	0.95891	-0.09312	0.28704	0.95338	fullstream.mp4	1920	1080	Fixation	3	980	276	
939			0.05775	0.30246	0.95141	-0.08858	0.26110	0.96124	fullstream.mp4	1920	1080	Fixation	3	980	276	
